store,week,product,quantity,count,price,promotion,cost,price_carton,price_50tab_equiv,cost_50tab_equiv,quantity_50tab_equiv,cost_50tab_equiv_mean,market_share,market_share_mean
47,36,1,18,12792,3.5699999,0,2.3,3.4204652,7.1399999,4.5999999,9,4.3645377,.16216215,.066228166
84,19,1,20,17122,3.52,.80000001,2.26,3.4204652,7.04,4.52,10,4.3645377,.088495575,.066228166
18,14,1,25,24368,3.29,0,2.1099999,3.4204652,6.5799999,4.2199998,12.5,4.3645377,.081699349,.066228166
67,33,1,12,14088,3.55,0,2.29,3.4204652,7.0999999,4.5799999,6,4.3645377,.048780486,.066228166
86,19,1,18,20954,2.3,.77999997,1.45,3.4204652,4.5999999,2.9000001,9,4.3645377,.0746888,.066228166
14,14,1,12,17164,3.5799999,0,2.26,3.4204652,7.1599998,4.52,6,4.3645377,.057416268,.066228166
89,19,1,18,21662,1.54,.77999997,.98000002,3.4204652,3.0799999,1.96,9,4.3645377,.11320755,.066228166
12,14,1,29,28965,3.5,0,2.1900001,3.4204652,7,4.3800001,14.5,4.3645377,.11836734,.066228166
80,40,1,11,20826,3.5699999,0,2.3,3.4204652,7.1399999,4.5999999,5.5,4.3645377,.033950616,.066228166
90,19,1,18,16045,2.1099999,.77999997,1.33,3.4204652,4.2199998,2.6600001,9,4.3645377,.18000001,.066228166
91,19,1,18,16498,3.3299999,.77999997,2.1400001,3.4204652,6.6599998,4.2800002,9,4.3645377,.10526316,.066228166
9,14,1,17,18172,3.26,0,2.0699999,3.4204652,6.52,4.1399999,8.5,4.3645377,.091397852,.066228166
103,41,1,28,20564,3.52,0,2.26,3.4204652,7.04,4.52,14,4.3645377,.064220183,.066228166
9,3,1,12,17025,3.3099999,0,2.0799999,3.4204652,6.6199999,4.1599998,6,4.3645377,.049586777,.066228166
92,19,1,18,19531,2.1400001,.77999997,1.38,3.4204652,4.2800002,2.76,9,4.3645377,.11612903,.066228166
8,14,1,20,27125,3.52,0,2.2,3.4204652,7.04,4.4000001,10,4.3645377,.083333336,.066228166
68,33,1,14,18731,3.52,0,2.25,3.4204652,7.04,4.5,7,4.3645377,.07,.066228166
93,19,1,18,23125,2.3699999,.77999997,1.51,3.4204652,4.7399998,3.02,9,4.3645377,.0746888,.066228166
5,14,1,12,17545,3.4200001,0,2.0999999,3.4204652,6.8400002,4.1999998,6,4.3645377,.044609666,.066228166
94,19,1,18,19532,3.0899999,.77999997,1.96,3.4204652,6.1799998,3.9200001,9,4.3645377,.073170729,.066228166
78,40,1,11,16582,3.47,0,2.1900001,3.4204652,6.9400001,4.3800001,5.5,4.3645377,.060773481,.066228166
2,14,1,16,15758,3.55,0,2.23,3.4204652,7.0999999,4.46,8,4.3645377,.10666667,.066228166
95,19,1,18,17984,2.1600001,.77999997,1.4,3.4204652,4.3200002,2.8,9,4.3645377,.10714286,.066228166
56,47,1,15,14171,3.49,0,2.21,3.4204652,6.98,4.4200001,7.5,4.3645377,.075376883,.066228166
97,19,1,18,15452,1.41,.77999997,.92000002,3.4204652,2.8199999,1.84,9,4.3645377,.0989011,.066228166
123,13,1,17,26695,3.3099999,0,2.1400001,3.4204652,6.6199999,4.2800002,8.5,4.3645377,.078341015,.066228166
98,19,1,32,29479,3.5699999,0,2.29,3.4204652,7.1399999,4.5799999,16,4.3645377,.078239612,.066228166
122,13,1,27,25681,3.23,0,2.1400001,3.4204652,6.46,4.2800002,13.5,4.3645377,.067669176,.066228166
104,41,1,19,18464,3.5,0,2.23,3.4204652,7,4.46,9.5,4.3645377,.059190031,.066228166
100,19,1,23,28464,3.5799999,0,2.29,3.4204652,7.1599998,4.5799999,11.5,4.3645377,.069277108,.066228166
121,13,1,15,21537,3.21,0,2.0999999,3.4204652,6.4200001,4.1999998,7.5,4.3645377,.048859935,.066228166
8,3,1,24,22891,3.27,0,2.04,3.4204652,6.54,4.0799999,12,4.3645377,.075000003,.066228166
77,40,1,9,15799,3.53,0,2.25,3.4204652,7.0599999,4.5,4.5,4.3645377,.039647575,.066228166
101,19,1,20,27582,3.52,.80000001,2.26,3.4204652,7.04,4.52,10,4.3645377,.052493438,.066228166
12,46,1,24,24298,3.5,0,2.25,3.4204652,7,4.5,12,4.3645377,.079734221,.066228166
102,19,1,26,30347,3.52,0,2.24,3.4204652,7.04,4.48,13,4.3645377,.062953994,.066228166
119,13,1,6,18136,3.1700001,0,1.99,3.4204652,6.3400002,3.98,3,4.3645377,.047244094,.066228166
110,47,1,19,17985,3.48,0,2.21,3.4204652,6.96,4.4200001,9.5,4.3645377,.040425532,.066228166
70,33,1,19,22611,3.52,0,2.26,3.4204652,7.04,4.52,9.5,4.3645377,.047979798,.066228166
103,19,1,28,24736,3.55,.86000001,2.28,3.4204652,7.0999999,4.5599999,14,4.3645377,.085365854,.066228166
118,13,1,8,14612,3.24,0,2.0599999,3.4204652,6.48,4.1199999,4,4.3645377,.053691275,.066228166
89,44,1,5,23804,3.4100001,0,2.1500001,3.4204652,6.8200002,4.3000002,2.5,4.3645377,.036231883,.066228166
104,19,1,18,14565,2.3299999,.77999997,1.49,3.4204652,4.6599998,2.98,9,4.3645377,.072289154,.066228166
105,1,1,19,24024,3.3,0,2.0799999,3.4204652,6.5999999,4.1599998,9.5,4.3645377,.052486189,.066228166
117,13,1,20,14713,3.3,0,2.1099999,3.4204652,6.5999999,4.2199998,10,4.3645377,.11904762,.066228166
105,41,1,20,28687,3.54,0,2.28,3.4204652,7.0799999,4.5599999,10,4.3645377,.053475935,.066228166
76,40,1,19,22465,3.55,0,2.28,3.4204652,7.0999999,4.5599999,9.5,4.3645377,.10439561,.066228166
105,19,1,19,24899,3.5899999,.79000002,2.3299999,3.4204652,7.1799998,4.6599998,9.5,4.3645377,.053370785,.066228166
116,13,1,12,16048,3.25,0,2.0699999,3.4204652,6.5,4.1399999,6,4.3645377,.077419356,.066228166
72,45,1,10,15272,3.6300001,0,2.3499999,3.4204652,7.2600002,4.6999998,5,4.3645377,.060606062,.066228166
74,37,1,13,22759,3.47,0,2.21,3.4204652,6.9400001,4.4200001,6.5,4.3645377,.040123455,.066228166
106,19,1,18,13287,3.1500001,.77999997,2.01,3.4204652,6.3000002,4.02,9,4.3645377,.074074075,.066228166
71,33,1,11,18851,3.52,0,2.24,3.4204652,7.04,4.48,5.5,4.3645377,.037671234,.066228166
115,13,1,10,16916,3.23,0,2.1099999,3.4204652,6.46,4.2199998,5,4.3645377,.03846154,.066228166
107,19,1,18,21857,3.1099999,.77999997,2,3.4204652,6.2199998,4,9,4.3645377,.0703125,.066228166
109,19,1,18,23800,3.49,.77999997,2.22,3.4204652,6.98,4.4400001,9,4.3645377,.049046323,.066228166
114,13,1,33,26825,3.22,0,2.1199999,3.4204652,6.4400001,4.2399998,16.5,4.3645377,.11,.066228166
5,3,1,16,17490,3.3599999,0,2.1400001,3.4204652,6.7199998,4.2800002,8,4.3645377,.060377359,.066228166
54,47,1,10,14076,3.51,0,2.23,3.4204652,7.02,4.46,5,4.3645377,.043290045,.066228166
110,19,1,19,17978,3.48,.79000002,2.21,3.4204652,6.96,4.4200001,9.5,4.3645377,.0785124,.066228166
113,13,1,9,19699,3.28,0,2.1099999,3.4204652,6.5599999,4.2199998,4.5,4.3645377,.05882353,.066228166
101,44,1,18,26989,3.53,0,2.26,3.4204652,7.0599999,4.52,9,4.3645377,.044665013,.066228166
75,40,1,13,21493,3.54,0,2.27,3.4204652,7.0799999,4.54,6.5,4.3645377,.065326631,.066228166
111,19,1,18,21830,2.74,.77999997,1.77,3.4204652,5.48,3.54,9,4.3645377,.20454545,.066228166
112,13,1,21,26604,3.1700001,0,2.0899999,3.4204652,6.3400002,4.1799998,10.5,4.3645377,.050239235,.066228166
80,35,1,18,25346,3.5599999,0,2.3099999,3.4204652,7.1199999,4.6199999,9,4.3645377,.056782335,.066228166
106,41,1,13,15984,3.5799999,0,2.3,3.4204652,7.1599998,4.5999999,6.5,4.3645377,.072222225,.066228166
112,19,1,18,29199,2.78,.77999997,1.79,3.4204652,5.5599999,3.5799999,9,4.3645377,.035363458,.066228166
111,13,1,15,25030,3.3199999,0,2.1500001,3.4204652,6.6399999,4.3000002,7.5,4.3645377,.11904762,.066228166
113,19,1,18,21863,2.3399999,.77999997,1.49,3.4204652,4.6799998,2.98,9,4.3645377,.10285714,.066228166
72,33,1,7,15009,3.49,0,2.24,3.4204652,6.98,4.48,3.5,4.3645377,.034146342,.066228166
114,19,1,29,28702,3.51,.86000001,2.23,3.4204652,7.02,4.46,14.5,4.3645377,.088145897,.066228166
110,13,1,18,17824,3.29,0,2.0999999,3.4204652,6.5799999,4.1999998,9,4.3645377,.083333336,.066228166
74,40,1,16,20875,3.54,0,2.28,3.4204652,7.0799999,4.5599999,8,4.3645377,.053333335,.066228166
115,19,1,18,18496,2.3800001,.77999997,1.53,3.4204652,4.7600002,3.0599999,9,4.3645377,.055384614,.066228166
109,13,1,13,23258,3.24,0,2.04,3.4204652,6.48,4.0799999,6.5,4.3645377,.035135135,.066228166
116,19,1,18,16916,2,.77999997,1.3,3.4204652,4,2.5999999,9,4.3645377,.072874494,.066228166
107,13,1,12,21294,3.3099999,0,2.1199999,3.4204652,6.6199999,4.2399998,6,4.3645377,.04225352,.066228166
111,47,1,18,20290,3.55,0,2.3,3.4204652,7.0999999,4.5999999,9,4.3645377,.13235295,.066228166
107,41,1,17,26293,3.51,0,2.27,3.4204652,7.02,4.54,8.5,4.3645377,.055194806,.066228166
117,19,1,18,15480,3.1199999,.77999997,1.98,3.4204652,6.2399998,3.96,9,4.3645377,.088669948,.066228166
2,3,1,6,13538,3.3699999,0,2.1500001,3.4204652,6.7399998,4.3000002,3,4.3645377,.043795619,.066228166
106,13,1,1,12393,3.45,0,2.2,3.4204652,6.9000001,4.4000001,.5,4.3645377,.037037037,.066228166
118,19,1,18,15674,1.73,.77999997,1.1,3.4204652,3.46,2.2,9,4.3645377,.14754099,.066228166
73,33,1,19,27650,3.5599999,0,2.3199999,3.4204652,7.1199999,4.6399999,9.5,4.3645377,.055393588,.066228166
105,13,1,22,24209,3.24,0,2.1400001,3.4204652,6.48,4.2800002,11,4.3645377,.075342469,.066228166
119,19,1,18,19075,2.1199999,.77999997,1.35,3.4204652,4.2399998,2.7,9,4.3645377,.092783503,.066228166
47,44,1,11,12914,3.5799999,0,2.3,3.4204652,7.1599998,4.5999999,5.5,4.3645377,.11340206,.066228166
73,40,1,17,24210,3.49,0,2.22,3.4204652,6.98,4.4400001,8.5,4.3645377,.05448718,.066228166
104,13,1,15,12495,3.3199999,0,2.1400001,3.4204652,6.6399999,4.2800002,7.5,4.3645377,.065502182,.066228166
121,19,1,18,23907,2.5999999,.77999997,1.6900001,3.4204652,5.1999998,3.3800001,9,4.3645377,.050561797,.066228166
53,47,1,10,14361,3.5,0,2.24,3.4204652,7,4.48,5,4.3645377,.061728396,.066228166
122,19,1,34,27740,3.51,.88,2.25,3.4204652,7.02,4.5,17,4.3645377,.073593073,.066228166
103,13,1,18,22881,3.22,0,2.1300001,3.4204652,6.4400001,4.2600002,9,4.3645377,.051282052,.066228166
115,36,1,6,16536,3.51,0,2.26,3.4204652,7.02,4.52,3,4.3645377,.016528925,.066228166
123,19,1,26,29307,3.5,.85000002,2.22,3.4204652,7,4.4400001,13,4.3645377,.082802549,.066228166
102,13,1,30,30441,3.23,0,2.1400001,3.4204652,6.46,4.2800002,15,4.3645377,.076335877,.066228166
109,41,1,19,26890,3.55,0,2.29,3.4204652,7.0999999,4.5799999,9.5,4.3645377,.039337475,.066228166
74,33,1,16,23320,3.49,0,2.22,3.4204652,6.98,4.4400001,8,4.3645377,.039506175,.066228166
2,20,1,10,14637,3.5799999,0,2.3,3.4204652,7.1599998,4.5999999,5,4.3645377,.058479533,.066228166
101,13,1,23,25630,3.21,0,2.1099999,3.4204652,6.4200001,4.2199998,11.5,4.3645377,.056790125,.066228166
72,40,1,9,13638,3.6099999,0,2.3399999,3.4204652,7.2199998,4.6799998,4.5,4.3645377,.053254437,.066228166
5,20,1,15,17249,3.5599999,0,2.28,3.4204652,7.1199999,4.5599999,7.5,4.3645377,.050675675,.066228166
100,13,1,27,28234,3.3199999,0,2.1300001,3.4204652,6.6399999,4.2600002,13.5,4.3645377,.092150174,.066228166
8,20,1,18,24945,3.5699999,0,2.3,3.4204652,7.1399999,4.5999999,9,4.3645377,.068441063,.066228166
123,2,1,16,26558,3.3199999,0,2.0999999,3.4204652,6.6399999,4.1999998,8,4.3645377,.052805282,.066228166
9,20,1,13,19912,3.53,0,2.27,3.4204652,7.0599999,4.54,6.5,4.3645377,.060465116,.066228166
98,13,1,27,29189,3.25,0,2.1300001,3.4204652,6.5,4.2600002,13.5,4.3645377,.062068965,.066228166
12,20,1,27,28511,3.5899999,0,2.3299999,3.4204652,7.1799998,4.6599998,13.5,4.3645377,.10843374,.066228166
14,20,1,20,15643,3.53,0,2.27,3.4204652,7.0599999,4.54,10,4.3645377,.09259259,.066228166
97,13,1,16,14000,3.28,0,2.1099999,3.4204652,6.5599999,4.2199998,8,4.3645377,.11034483,.066228166
54,45,1,9,16058,3.53,0,2.27,3.4204652,7.0599999,4.54,4.5,4.3645377,.05027933,.066228166
110,41,1,15,23655,3.53,0,2.25,3.4204652,7.0599999,4.5,7.5,4.3645377,.034965035,.066228166
71,40,1,2,16183,3.48,0,2.2,3.4204652,6.96,4.4000001,1,4.3645377,.0086580086,.066228166
95,13,1,8,16823,3.3199999,0,2.1400001,3.4204652,6.6399999,4.2800002,4,4.3645377,.052287582,.066228166
81,35,1,15,21335,3.5599999,0,2.29,3.4204652,7.1199999,4.5799999,7.5,4.3645377,.06849315,.066228166
18,20,1,23,24009,3.52,0,2.25,3.4204652,7.04,4.5,11.5,4.3645377,.0982906,.066228166
